outcome_key,validation_design,metric,point_estimate,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_replicates
cell_viability,random_rowwise,balanced_accuracy,0.7617910311963334,0.6853181261144191,0.8128205416289573,10000
cell_viability,random_rowwise,roc_auc,0.8668327135009722,0.8011498617050532,0.9076293755610022,10000
cell_viability,random_rowwise,average_precision,0.9103047952103178,0.8480042991743474,0.9467678017394777,10000
cell_viability,random_rowwise,f1,0.8087431693989071,0.7311492617844706,0.8672989616405159,10000
cell_viability,random_rowwise,sensitivity,0.7978436657681941,0.6949576836740884,0.8775510204081632,10000
cell_viability,random_rowwise,specificity,0.7257383966244726,0.5593959473587111,0.8309871296745993,10000
cell_viability,random_rowwise,accuracy,0.7697368421052632,0.7096186892023798,0.8219836126828227,10000
cell_viability,random_rowwise,brier_score,0.14569874075097924,0.11899334078344714,0.17472951078698024,10000
cell_viability,publication_grouped,balanced_accuracy,0.6226017036860123,0.54213548364595,0.7053363961653007,10000
cell_viability,publication_grouped,roc_auc,0.6876272362300545,0.5834559513550946,0.7746330904592226,10000
cell_viability,publication_grouped,average_precision,0.7386239747754135,0.639660578256329,0.8354433264424486,10000
cell_viability,publication_grouped,f1,0.784,0.7028457222487073,0.8525805490091204,10000
cell_viability,publication_grouped,sensitivity,0.9245283018867925,0.8649515374949182,0.9682926829268292,10000
cell_viability,publication_grouped,specificity,0.3206751054852321,0.14864864864864866,0.49042206603704513,10000
cell_viability,publication_grouped,accuracy,0.6891447368421053,0.5990257747571577,0.7746745465204496,10000
cell_viability,publication_grouped,brier_score,0.21404384386981046,0.19016203326518735,0.2388780546063075,10000
filament_diameter,random_rowwise,balanced_accuracy,0.8945627251883393,0.6388711393924082,0.958132056730455,10000
filament_diameter,random_rowwise,roc_auc,0.9646904683917459,0.8501390989661348,0.9901137909709339,10000
filament_diameter,random_rowwise,average_precision,0.9317761820900046,0.42377423322214164,0.9864165476332405,10000
filament_diameter,random_rowwise,f1,0.8489208633093526,0.375,0.9491525423728814,10000
filament_diameter,random_rowwise,sensitivity,0.8309859154929577,0.31570723684210533,0.9452054794520548,10000
filament_diameter,random_rowwise,specificity,0.958139534883721,0.9054709560306575,0.9923371647509579,10000
filament_diameter,random_rowwise,accuracy,0.9265734265734266,0.8688483192581553,0.9702970297029703,10000
filament_diameter,random_rowwise,brier_score,0.056449393148377186,0.029231165187974133,0.09215910014486242,10000
filament_diameter,publication_grouped,balanced_accuracy,0.4930232558139535,0.47783251231527096,0.5,10000
filament_diameter,publication_grouped,roc_auc,0.680805764821487,0.27659053299892244,0.8364804096627191,10000
filament_diameter,publication_grouped,average_precision,0.3677845553573431,0.0732812690982826,0.6736598723841207,10000
filament_diameter,publication_grouped,f1,0.0,0.0,0.0,10000
filament_diameter,publication_grouped,sensitivity,0.0,0.0,0.0,10000
filament_diameter,publication_grouped,specificity,0.986046511627907,0.9556650246305419,1.0,10000
filament_diameter,publication_grouped,accuracy,0.7412587412587412,0.5590036586403471,0.9181034482758621,10000
filament_diameter,publication_grouped,brier_score,0.17935856613178983,0.09708853391148003,0.2624452631621063,10000
