scenario_key,scenario_label,required,row_count,publication_count,feature_count,source_column,feature_mode,paired_publications,random_macro_publication_mae,grouped_macro_publication_mae,grouped_minus_random_macro_mae,bootstrap_ci_lower,bootstrap_ci_upper,permutation_p_value,random_row_mae_mean,grouped_row_mae_mean,grouped_minus_random_row_mae,random_r2_mean,grouped_r2_mean,grouped_minus_random_r2,evidence_classification,adjusted_p_value_holm,difference_from_primary_gap,same_direction_as_primary,robustness_interpretation
primary_all_prospective,Primary DOI grouping; all rows; prospective features,True,608,75,44,meta_primary_source_id,prospective_design,75,8.21634992414073,11.982691592383507,3.7663416682427813,2.7545371146395863,4.808367142635474,1.999960000799984e-05,8.067188829125676,13.225741316099413,5.158552486973738,0.5092727292104421,-0.04492614851703223,-0.5541988777274743,Grouped error credibly higher than random error,0.0002799944001119978,0.0,True,Supports a robust random-versus-grouped generalization gap
reference_grouping,Reference grouping instead of DOI,True,608,76,44,meta_sensitivity_source_id,prospective_design,76,8.286150670191759,11.66590426441054,3.379753594218782,2.4590439431897306,4.324329728060375,1.999960000799984e-05,8.156489968455613,12.814837016710058,4.658347048254446,0.49881771468500213,0.006208126346733622,-0.4926095883382686,Grouped error credibly higher than random error,0.0002799944001119978,-0.3865880740239991,True,Supports a robust random-versus-grouped generalization gap
minimum_source_size_3,Exclude DOI sources with fewer than 3 rows,True,593,66,44,meta_primary_source_id,prospective_design,66,8.506370895541705,12.119211448959566,3.612840553417861,2.613284610743117,4.640239878689501,1.999960000799984e-05,8.190487190406909,13.087251774513584,4.8967645841066725,0.4929082740011682,-0.015033958385739732,-0.5079422323869079,Grouped error credibly higher than random error,0.0002799944001119978,-0.15350111482492013,True,Supports a robust random-versus-grouped generalization gap
minimum_source_size_5,Exclude DOI sources with fewer than 5 rows,True,499,40,44,meta_primary_source_id,prospective_design,40,7.626620801211482,12.609467000913924,4.982846199702441,3.4518682026011085,6.5965353166481515,1.999960000799984e-05,7.878517368109345,13.878292228671949,5.999774860562605,0.5455993245731989,-0.09844954729870632,-0.6440488718719053,Grouped error credibly higher than random error,0.0002799944001119978,1.2165045314596594,True,Supports a robust random-versus-grouped generalization gap
day_0_only,Day 0 observations only,True,150,34,44,meta_primary_source_id,prospective_design,34,10.78877205285228,12.419684612053242,1.6309125592009617,0.3222007695632686,2.964905787087389,0.023079538409231815,11.509617488093252,14.177254108698786,2.667636620605534,0.376189182322254,0.05987624044627822,-0.3163129418759758,Grouped error credibly higher than random error,0.023079538409231815,-2.1354291090418194,True,Supports a robust random-versus-grouped generalization gap
day_0_to_1,Days 0 to 1 observations,True,336,69,44,meta_primary_source_id,prospective_design,69,10.156850824624259,12.950219332031892,2.7933685074076355,1.6316678675012977,4.035753484608154,1.999960000799984e-05,9.505356539104051,14.208900227742959,4.703543688638907,0.4413180599489257,-0.017444515861165355,-0.4587625758100911,Grouped error credibly higher than random error,0.0002799944001119978,-0.9729731608351457,True,Supports a robust random-versus-grouped generalization gap
primary_cells_only,Primary-cell observations only,False,347,45,44,meta_primary_source_id,prospective_design,45,7.805145706993674,11.141627227381296,3.3364815203876232,2.21262770713927,4.50463141378093,1.999960000799984e-05,8.063621743578969,13.010026334728213,4.946404591149242,0.46779891422654407,-0.11516050143070715,-0.5829594156572512,Grouped error credibly higher than random error,0.0002799944001119978,-0.429860147855158,True,Supports a robust random-versus-grouped generalization gap
non_primary_cells_only,Non-primary-cell observations only,False,261,33,44,meta_primary_source_id,prospective_design,33,9.188032807995803,13.55452228190517,4.366489473909366,2.910829495523919,5.881292384256419,3.999920001599968e-05,8.1549050894862,13.285300845001464,5.1303957555152655,0.5047072905648765,-0.017567358511854626,-0.5222746490767312,Grouped error credibly higher than random error,0.0002799944001119978,0.6001478056665843,True,Supports a robust random-versus-grouped generalization gap
observed_pressure_only,Rows with observed extrusion pressure only,True,351,40,44,meta_primary_source_id,prospective_design,40,7.017161419108755,10.610348597216086,3.593187178107332,2.4782218896279087,4.806052219853069,1.999960000799984e-05,7.3736609764572,12.02450497458388,4.65084399812668,0.6075888081752832,0.09305741962298064,-0.5145313885523024,Grouped error credibly higher than random error,0.0002799944001119978,-0.17315449013544937,True,Supports a robust random-versus-grouped generalization gap
full_retrospective_features,Full-retrospective feature timing,True,608,75,46,meta_primary_source_id,full_retrospective,75,8.213327120888561,11.601993839889396,3.388666719000834,2.469838083076926,4.336276058441035,1.999960000799984e-05,8.004678134692977,12.669600424428442,4.664922289735465,0.5143481352584234,0.02813484868053424,-0.4862132865778891,Grouped error credibly higher than random error,0.0002799944001119978,-0.3776749492419471,True,Supports a robust random-versus-grouped generalization gap
core_physics_features,Core-physics feature set,True,608,75,15,meta_primary_source_id,core_physics,75,8.728551404679516,12.30803337756274,3.579481972883221,2.5139257453876143,4.679068262692344,1.999960000799984e-05,8.255457631670813,13.160643071236175,4.9051854395653605,0.46891993314196545,-0.04697908635115171,-0.5158990194931171,Grouped error credibly higher than random error,0.0002799944001119978,-0.18685969535956026,True,Supports a robust random-versus-grouped generalization gap
missingness_le_50,Prospective features with <=50% missingness,True,608,75,41,meta_primary_source_id,missingness_le_50,75,8.672752475500483,12.097998070437898,3.4252455949374156,2.3865903254346312,4.531636423528971,1.999960000799984e-05,8.269306977384565,12.624045748603518,4.354738771218953,0.46948961506013187,-0.004562837704248923,-0.47405245276438085,Grouped error credibly higher than random error,0.0002799944001119978,-0.3410960733053656,True,Supports a robust random-versus-grouped generalization gap
missingness_le_30,Prospective features with <=30% missingness,True,608,75,39,meta_primary_source_id,missingness_le_30,75,9.059881544586304,12.39335844936432,3.3334769047780153,2.257475695159529,4.472616245517554,1.999960000799984e-05,8.795121965109278,13.242196602152395,4.447074637043118,0.4430388916625388,-0.05973624672417155,-0.5027751383867103,Grouped error credibly higher than random error,0.0002799944001119978,-0.432864763464766,True,Supports a robust random-versus-grouped generalization gap
missingness_le_20,Prospective features with <=20% missingness,True,608,75,38,meta_primary_source_id,missingness_le_20,75,9.102894267629283,12.649760492688916,3.546866225059633,2.4417324809031107,4.713752697153118,1.999960000799984e-05,8.763202729033202,13.695325198440548,4.932122469407346,0.4529909172504335,-0.1011626819616255,-0.5541535992120591,Grouped error credibly higher than random error,0.0002799944001119978,-0.2194754431831485,True,Supports a robust random-versus-grouped generalization gap
